iter	Passed	Remaining
0	58	58523
1	58	29354
2	59	19623
3	59	14759
4	59	11845
5	59	9902
6	60	8511
7	60	7468
8	60	6655
9	60	6008
10	60	5477
11	61	5036
12	61	4662
13	61	4340
14	61	4062
15	62	3819
16	62	3604
17	62	3413
18	62	3248
19	63	3096
20	63	2956
21	63	2829
22	63	2714
23	64	2608
24	64	2511
25	64	2421
26	64	2336
27	65	2258
28	65	2186
29	65	2118
30	65	2054
31	65	1996
32	66	1940
33	66	1889
34	66	1839
35	66	1792
36	67	1749
37	67	1707
38	67	1669
39	68	1632
40	68	1598
41	68	1563
42	68	1530
43	69	1499
44	69	1469
45	69	1441
46	69	1413
47	69	1387
48	70	1362
49	70	1338
50	70	1315
51	70	1292
52	71	1270
53	71	1250
54	71	1230
55	71	1211
56	72	1192
57	72	1174
58	72	1157
59	72	1140
60	73	1124
61	73	1108
62	73	1093
63	73	1078
64	73	1064
65	74	1049
66	74	1036
67	74	1021
68	74	1008
69	74	995
70	75	983
71	75	971
72	75	960
73	75	948
74	76	937
75	76	927
76	76	916
77	76	906
78	76	896
79	77	886
80	77	877
81	77	868
82	77	859
83	77	850
84	78	840
85	78	832
86	78	823
87	78	815
88	78	807
89	79	800
90	79	792
91	79	785
92	79	778
93	79	770
94	80	764
95	80	757
96	80	750
97	80	744
98	81	737
99	81	731
100	81	725
101	81	718
102	81	712
103	82	706
104	82	700
105	82	695
106	82	689
107	82	684
108	83	679
109	83	674
110	83	669
111	83	664
112	84	659
113	84	654
114	84	650
115	84	644
116	84	640
117	85	636
118	85	631
119	85	626
120	85	622
121	85	617
122	85	612
123	86	608
124	86	604
125	86	600
126	86	596
127	86	591
128	87	588
129	87	584
130	87	580
131	87	576
132	87	573
133	88	569
134	88	565
135	88	562
136	88	558
137	88	555
138	89	551
139	89	548
140	89	545
141	89	542
142	89	538
143	90	535
144	90	532
145	90	529
146	90	526
147	90	523
148	91	520
149	91	517
150	91	514
151	91	512
152	92	509
153	92	506
154	92	504
155	92	501
156	92	498
157	93	496
158	93	494
159	93	491
160	93	488
161	94	486
162	94	483
163	94	481
164	94	479
165	94	476
166	95	474
167	95	471
168	95	469
169	95	467
170	95	465
171	96	462
172	96	460
173	96	458
174	96	456
175	97	454
176	97	452
177	97	450
178	97	448
179	97	446
180	97	443
181	98	441
182	98	439
183	98	437
184	98	435
185	99	433
186	99	431
187	99	429
188	99	427
189	99	425
190	100	423
191	100	422
192	100	420
193	100	418
194	100	416
195	101	414
196	101	413
197	101	411
198	101	409
199	101	407
200	102	406
201	102	404
202	102	402
203	102	401
204	103	399
205	103	398
206	103	396
207	103	394
208	103	393
209	104	391
210	104	390
211	104	388
212	104	387
213	105	385
214	105	384
215	105	382
216	105	381
217	105	379
218	106	378
219	106	376
220	106	375
221	106	374
222	107	372
223	107	371
224	107	369
225	107	368
226	107	367
227	108	365
228	108	364
229	108	363
230	108	361
231	108	360
232	109	359
233	109	357
234	109	356
235	109	355
236	109	353
237	110	352
238	110	351
239	110	350
240	110	348
241	110	347
242	111	346
243	111	345
244	111	344
245	111	342
246	112	341
247	112	340
248	112	339
249	112	338
250	112	336
251	113	335
252	113	334
253	113	333
254	113	332
255	113	331
256	114	330
257	114	329
258	114	327
259	114	326
260	115	325
261	115	324
262	115	323
263	115	322
264	115	321
265	116	320
266	116	319
267	116	318
268	116	317
269	117	316
270	117	315
271	117	314
272	117	313
273	117	312
274	118	311
275	118	310
276	118	309
277	118	308
278	119	307
279	119	306
280	119	305
281	119	304
282	119	303
283	120	302
284	120	301
285	120	300
286	120	299
287	120	298
288	121	298
289	121	297
290	121	296
291	121	295
292	121	294
293	122	293
294	122	292
295	122	291
296	122	290
297	123	290
298	123	289
299	123	288
300	123	287
301	124	286
302	124	285
303	124	284
304	124	284
305	124	283
306	125	282
307	125	281
308	125	280
309	125	280
310	126	279
311	126	278
312	126	277
313	126	276
314	126	275
315	127	275
316	127	274
317	127	273
318	127	272
319	127	271
320	128	271
321	128	270
322	128	269
323	128	268
324	129	268
325	129	267
326	129	266
327	129	265
328	129	265
329	130	264
330	130	263
331	130	262
332	130	261
333	131	261
334	131	260
335	131	259
336	131	259
337	131	258
338	132	257
339	132	256
340	132	256
341	132	255
342	132	254
343	133	253
344	133	253
345	133	252
346	133	251
347	133	250
348	134	250
349	134	249
350	134	248
351	134	248
352	135	247
353	135	246
354	135	246
355	135	245
356	135	244
357	136	244
358	136	243
359	136	242
360	136	242
361	137	241
362	137	240
363	137	240
364	137	239
365	137	238
366	138	238
367	138	237
368	138	237
369	138	236
370	139	235
371	139	235
372	139	234
373	139	233
374	139	233
375	140	232
376	140	231
377	140	231
378	140	230
379	141	230
380	141	229
381	141	228
382	141	228
383	141	227
384	142	226
385	142	226
386	142	225
387	142	225
388	142	224
389	143	223
390	143	223
391	143	222
392	143	221
393	143	221
394	144	220
395	144	220
396	144	219
